iso3,year,hs27_import_value,all_import_value,exp_imp,exp_imp_pct
BEN,2018,604033396.983,3348856325.971,0.18037005418793553,18.03700541879355
BEN,2019,547224055.553,2907372147.165,0.1882194737562586,18.82194737562586
BEN,2020,472558448.83,2654129183.111,0.17804651402690855,17.804651402690855
BEN,2021,501524561.899,3421838432.052,0.146565821811244,14.6565821811244
BEN,2022,714732480.656,3845858822.924,0.18584470038153666,18.58447003815367
BEN,2023,665713148.041,3904898286.01,0.17048155912947516,17.048155912947514
BEN,2024,461217452.794,3366518555.088,0.13700131018049413,13.700131018049413
BFA,2015,803040319.335,3069148530.613,0.26164922007688207,26.164922007688208
BFA,2016,666220369.0,3342727115.0,0.19930444397044358,19.930444397044358
BFA,2017,927197995.323,3943250669.083,0.23513544360562275,23.513544360562275
BFA,2018,1170559492.488,4396268961.314,0.26626202873132027,26.626202873132026
BFA,2019,1201981303.712,4259319002.143,0.2822003477803012,28.22003477803012
BFA,2020,1112278373.808,4178962967.218,0.26616133776089934,26.616133776089935
BFA,2021,1362387224.103,4709930446.832,0.28925845922403604,28.925845922403603
BFA,2022,2087153670.876,5647110848.988,0.36959672418154,36.959672418154
BFA,2023,2327573897.767,5880261677.507,0.39582828544354853,39.582828544354854
BFA,2024,2645363652.496,6428761846.688,0.41148882406630927,41.148882406630925
BGD,2015,5219952822.0,48058710041.0,0.10861616588432642,10.861616588432641
BGD,2016,5546289714.63,52625205065.08,0.10539226797826386,10.539226797826386
BGD,2017,6764812734.754,64915954555.67,0.10420878474416789,10.420878474416789
BGD,2018,8148804687.798,80508812903.275,0.10121630656246476,10.121630656246476
BGR,2015,4567163095.0,29265116176.0,0.15606167655488346,15.606167655488346
BGR,2016,3606796004.569,28958139912.603,0.12455206085247451,12.455206085247452
BGR,2017,4855350638.595,34263590069.665,0.14170583493215577,14.170583493215577
BGR,2018,5145029539.344,37927842259.089,0.13565310423402874,13.565310423402874
BGR,2019,5230579153.871,37765114126.383,0.13850293517892157,13.850293517892156
BGR,2020,2981129253.215,35027243632.891,0.08510887366585945,8.510887366585946
BGR,2021,5317026085.82,46395777342.428,0.1146015088092443,11.46015088092443
BGR,2022,9806920627.998,58091667019.676,0.16881802728567483,16.881802728567482
BGR,2023,5972265521.32,53528641323.766,0.11157140128397755,11.157140128397755
